Type,AP_height,AP_width,AP1_peak,AP1_width,Spikecount,ISI mean,dvdt Peak1 Height,dvdt Peak1 Voltage,dvdt Peak2 Height,dvdt Peak2 Voltage,dvdt Threshold,ais spikecount,nex spikecount,disdend spikecount
na12_HMM_TF100923,23.779224537536606,0.19999999999998863,25.944233251260552,0.811184043500485,20,23.663157894740372,341.01716410755,-40.88071594607652,460.81777115412274,0.8137785831594782,-54.284631715961936,20,0,0
na12_HMM_TF100923,23.779224537536606,0.19999999999998863,25.944233251260552,0.811184043500485,20,23.663157894740372,341.01716410755,-40.88071594607652,460.81777115412274,0.8137785831594782,-54.284631715961936,20,0,0
na12_HMM_TF100923,23.779224537536606,0.19999999999998863,25.944233251260552,0.811184043500485,20,23.663157894740372,341.01716410755,-40.88071594607652,460.81777115412274,0.8137785831594782,-54.284631715961936,20,0,0
na12_HMM_TF100923,23.779224537536606,0.19999999999998863,25.944233251260552,0.811184043500485,20,23.663157894740372,341.01716410755,-40.88071594607652,460.81777115412274,0.8137785831594782,-54.284631715961936,20,0,0
na12_HMM_TF100923,23.779224537536606,0.19999999999998863,25.944233251260552,0.811184043500485,20,23.663157894740372,341.01716410755,-40.88071594607652,460.81777115412274,0.8137785831594782,-54.284631715961936,20,0,0
na12_HMM_TF100923,23.779224537536606,0.19999999999998863,25.944233251260552,0.811184043500485,20,23.663157894740372,341.01716410755,-40.88071594607652,460.81777115412274,0.8137785831594782,-54.284631715961936,20,0,0
na12_HMM_TF100923,23.779224537536606,0.19999999999998863,25.944233251260552,0.811184043500485,20,23.663157894740372,341.01716410755,-40.88071594607652,460.81777115412274,0.8137785831594782,-54.284631715961936,20,0,0
na12_HMM_TF100923,23.779224537536606,0.19999999999998863,25.944233251260552,0.811184043500485,20,23.663157894740372,341.01716410755,-40.88071594607652,460.81777115412274,0.8137785831594782,-54.284631715961936,20,0,0
na12_HMM_TF100923,23.779224537536606,0.19999999999998863,25.944233251260552,0.811184043500485,20,23.663157894740372,341.01716410755,-40.88071594607652,460.81777115412274,0.8137785831594782,-54.284631715961936,20,0,0
na12_HMM_TF100923,23.779224537536606,0.19999999999998863,25.944233251260552,0.811184043500485,20,23.663157894740372,341.01716410755,-40.88071594607652,460.81777115412274,0.8137785831594782,-54.284631715961936,20,0,0
na12_HMM_TF100923,23.21670357721358,0.19999999999998863,23.603599464381976,0.8326377813659449,21,22.24000000000335,341.5504799841436,-40.424696327695806,459.5473154553617,1.4335715667730713,-54.13122735030205,21,0,0
na12_HMM_TF100923,20.97223627943763,0.19999999999998863,19.96008147994241,0.792388576306718,16,26.386666666671147,334.78654300845886,-39.386349435566906,427.99797969120107,0.7827142316206959,-53.03965948358937,16,0,0
na12_HMM_TF100923,23.21670357721358,0.19999999999998863,23.603599464381976,0.8326377813659449,21,22.24000000000335,341.5504799841436,-40.424696327695806,459.5473154553617,1.4335715667730713,-54.13122735030205,21,0,0
na12_HMM_TF100923,23.981415650679523,0.19999999999998863,26.22448435265513,0.8138857841535646,20,23.500000000003496,340.7003963802424,-39.837328853217016,461.48068075431945,2.2359296664405606,-54.282504105762904,20,0,0
na12_HMM_TF100923,23.87691398243463,0.29999999999998295,25.09205694434988,0.8217941302192979,21,22.65500000000342,340.90744927728804,-39.65423413101572,456.6972856196415,2.3336344492757886,-54.09164687021305,21,0,0
na12_HMM_TF100923,22.899118335522807,0.29999999999998295,24.057148845336325,0.8166108132800088,21,22.31000000000342,339.1622629187452,-40.32447103188123,454.97793700428895,1.0975970367758068,-54.086527504831444,21,0,0
na12_HMM_TF100923,23.76896673552177,0.19999999999998863,26.268618587994613,0.8104019198041221,20,23.752631578950936,341.30126145718475,-39.966807301474034,462.36088149850093,2.1439085402822404,-54.29887331065324,20,0,0
na12_HMM_TF100923,23.6454772466453,0.19999999999998863,24.95654301453272,0.8200913233265972,21,22.43500000000337,341.0958307256159,-40.97345644557805,456.46192071798185,0.5956679879427336,-54.0990259216215,21,0,0
